company_name,company_linkedin_url,job_title,time_posted,num_applicants
Lumenalta,https://www.linkedin.com/company/lumenalta,Data Engineer - Databricks (Remote),,0
Rijksakademie van beeldende kunsten,https://nl.linkedin.com/company/rijksakademie-van-beeldende-kunsten,61st Venice Biennale,,0
Mansfield Agency,https://www.linkedin.com/company/the-mansfield-agency-sfg,Entry Level Remote Sales (No Experience Needed) Job,,0
Bank of America,https://www.linkedin.com/company/bank-of-america,Data Scientist I,,41 applicants
KnowHireMatch,https://www.linkedin.com/company/knowhirematch,Automation Engineer,,0
Bank of America,https://www.linkedin.com/company/bank-of-america,Data Scientist I,,0
Alignerr,https://www.linkedin.com/company/alignerr,Lua Programmer,,0
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Software Engineer - AWS, HCI, Java",,0
Trekker,https://www.linkedin.com/company/trekker,"CDL-A Lease Driver  Up to $130,000 annual take home",,0
Michigan Medicine,https://www.linkedin.com/company/michigan-medicine,Database Engineer,,0
Alignerr,https://www.linkedin.com/company/alignerr,AI Security Tester,,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Mexico Residents - Survey Participants - Mérida, Mexico",,0
1st Option Title,https://www.linkedin.com/company/1stoptiontitle,Escrow Assistant,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Data Platform Engineer,,0
Trekker,https://www.linkedin.com/company/trekker,"CDL-A Lease Driver  Up to $130,000 annual take home",,0
Vulcan Elements,https://www.linkedin.com/company/vulcan-elements,Recruiter,,0
Addition Management,https://www.linkedin.com/company/addition-management,Senior Enterprise Application Engineer,,0
Trekker,https://www.linkedin.com/company/trekker,"CDL-A Lease Driver  Up to $130,000 annual take home",,0
Alignerr,https://www.linkedin.com/company/alignerr,Finance & Python Expert — AI Financial Modeling Reviewer,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Transcriptionist - AI Trainer,,0
Alignerr,https://www.linkedin.com/company/alignerr,AI Security Tester,,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Mexico Residents - Survey Participants - Mérida, Mexico",,0
1st Option Title,https://www.linkedin.com/company/1stoptiontitle,Escrow Assistant,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Data Platform Engineer,,0
Trekker,https://www.linkedin.com/company/trekker,"CDL-A Lease Driver  Up to $130,000 annual take home",,0
Vulcan Elements,https://www.linkedin.com/company/vulcan-elements,Recruiter,,0
Addition Management,https://www.linkedin.com/company/addition-management,Senior Enterprise Application Engineer,,0
Trekker,https://www.linkedin.com/company/trekker,"CDL-A Lease Driver  Up to $130,000 annual take home",,0
Alignerr,https://www.linkedin.com/company/alignerr,Finance & Python Expert — AI Financial Modeling Reviewer,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Transcriptionist - AI Trainer,,0
Code Secure India Private Limited,https://in.linkedin.com/company/codesecureindiaprivatelimited,Laravel Developers,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Investment Analyst | Upto $105/hr - AI Trainer,,0
Alignerr,https://www.linkedin.com/company/alignerr,Data Scientist (Masters),,0
hackajob,https://uk.linkedin.com/company/hackajob,"Java, Spring Boot, Microservices Lead Software Engineer",,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Mexico Residents - Survey Participants - Oaxaca, Mexico",,0
Elite Leadership,https://ca.linkedin.com/company/elite-leadership-group,Finance Associate,,0
Viajante Muquirana,https://br.linkedin.com/company/viajantemuquirana,Vice President,,0
Envision Horizons,https://www.linkedin.com/company/envision-horizons,Director of TikTok,,0
NOX METALS,https://www.linkedin.com/company/noxmetals,Automation Engineering Lead,,0
Trekker,https://www.linkedin.com/company/trekker,"CDL-A Lease Driver  Up to $130,000 annual take home",,0
Trekker,https://www.linkedin.com/company/trekker,"CDL-A Lease Driver  Up to $130,000 annual take home",,0
NuWest Group,https://www.linkedin.com/company/nuwest-group,"Travel LDRP RN - $2,530 per week",,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Mexico Residents - Survey Participants - Puebla, Mexico",,0
